local_noise,link_noise,repeat,local_coverage,local_validity,link_consistency,global_stability,cgcs
0.0,0.3,15,1.0,1.0,0.875,1.0,0.875
0.0,0.3,16,1.0,1.0,0.875,1.0,0.875
0.0,0.3,17,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.3,18,1.0,1.0,0.875,1.0,0.875
0.0,0.3,19,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.3,20,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.3,21,1.0,1.0,0.875,1.0,0.875
0.0,0.3,22,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.3,23,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.3,24,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.35,0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.35,1,1.0,1.0,0.875,1.0,0.875
0.0,0.35,2,1.0,1.0,0.75,1.0,0.75
0.0,0.35,3,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.35,4,1.0,1.0,0.75,1.0,0.75
0.0,0.35,5,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.35,6,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.35,7,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666
0.0,0.35,8,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.35,9,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.35,10,1.0,1.0,0.875,1.0,0.875
0.0,0.35,11,1.0,1.0,0.875,1.0,0.875
0.0,0.35,12,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.35,13,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.35,14,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.35,15,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.35,16,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.35,17,1.0,1.0,0.875,1.0,0.875
0.0,0.35,18,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.35,19,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.35,20,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.35,21,1.0,1.0,0.875,1.0,0.875
0.0,0.35,22,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.35,23,1.0,1.0,0.75,1.0,0.75
0.0,0.35,24,1.0,1.0,0.875,1.0,0.875
0.0,0.39999999999999997,0,1.0,1.0,0.75,1.0,0.75
0.0,0.39999999999999997,1,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.39999999999999997,2,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.39999999999999997,3,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.39999999999999997,4,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.39999999999999997,5,1.0,1.0,0.7083333333333334,0.8333333333333334,0.5902777777777778
0.0,0.39999999999999997,6,1.0,1.0,0.75,1.0,0.75
0.0,0.39999999999999997,7,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.39999999999999997,8,1.0,1.0,0.875,1.0,0.875
0.0,0.39999999999999997,9,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.39999999999999997,10,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.39999999999999997,11,1.0,1.0,0.875,1.0,0.875
0.0,0.39999999999999997,12,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.39999999999999997,13,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.39999999999999997,14,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
0.0,0.39999999999999997,15,1.0,1.0,0.7083333333333334,0.9166666666666666,0.6493055555555556
0.0,0.39999999999999997,16,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
0.0,0.39999999999999997,17,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.39999999999999997,18,1.0,1.0,0.875,1.0,0.875
0.0,0.39999999999999997,19,1.0,1.0,0.7916666666666666,1.0,0.7916666666666666
0.0,0.39999999999999997,20,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.39999999999999997,21,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334
0.0,0.39999999999999997,22,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
0.0,0.39999999999999997,23,1.0,1.0,0.7083333333333334,1.0,0.7083333333333334
