n_modules,topology,link_noise,cgcs,z,shared_profile,collapse_residual,abs_residual
16,small_world,0.04,0.8787526046209438,-2.341349558557851,0.9122441838446002,-0.03349157922365631,0.03349157922365631
16,small_world,0.045,0.8675128560132119,-2.260613366883443,0.9055620988580213,-0.03804924284480937,0.03804924284480937
16,small_world,0.05,0.862146053302236,-2.1798771752090342,0.8984278642454462,-0.03628181094321015,0.03628181094321015
16,small_world,0.055,0.8518075240116273,-2.0991409835346255,0.8908196589124181,-0.03901213490079081,0.03901213490079081
16,small_world,0.06,0.8437649023575196,-2.018404791860217,0.8827159604276212,-0.038951058070101685,0.038951058070101685
16,small_world,0.065,0.832686756510089,-1.937668600185808,0.8740957911800078,-0.04140903466991874,0.04140903466991874
16,small_world,0.07,0.8236613889551258,-1.8569324085113994,0.8649389944549715,-0.041277605499845715,0.041277605499845715
16,small_world,0.075,0.8136973018659385,-1.776196216836991,0.8552265399741212,-0.041529238108182764,0.041529238108182764
16,small_world,0.08,0.8036854564924715,-1.6954600251625822,0.8449408575048881,-0.04125540101241665,0.04125540101241665
16,small_world,0.085,0.7911927181167148,-1.6147238334881733,0.8340661960440705,-0.04287347792735574,0.04287347792735574
16,small_world,0.09,0.7758826223444556,-1.5339876418137648,0.8225890048244717,-0.04670638248001613,0.04670638248001613
16,small_world,0.095,0.7670621531633123,-1.453251450139356,0.8104983310092164,-0.043436177845904145,0.043436177845904145
16,small_world,0.1,0.7549749684825725,-1.3725152584649474,0.7977862274616282,-0.04281125897905569,0.04281125897905569
16,small_world,0.105,0.7421298704715449,-1.2917790667905389,0.7844481624629489,-0.04231829199140402,0.04231829199140402
16,small_world,0.11,0.7362411649175575,-1.2110428751161302,0.7704834217651708,-0.034242256847613284,0.034242256847613284
16,small_world,0.115,0.7202134136374414,-1.1303066834417212,0.7558954919967944,-0.035682078359353,0.035682078359353
16,small_world,0.12,0.7024631234713848,-1.0495704917673128,0.740692413283374,-0.03822928981198914,0.03822928981198914
16,small_world,0.125,0.6890312938296116,-0.968834300092904,0.7248870881088008,-0.03585579427918917,0.03585579427918917
16,small_world,0.13,0.6667832546506948,-0.8880981084184953,0.7084975330360549,-0.041714278385360126,0.041714278385360126
16,small_world,0.135,0.6610289578262395,-0.8073619167440865,0.6915470600300212,-0.030518102203781705,0.030518102203781705
16,small_world,0.14,0.644983406413654,-0.7266257250696778,0.6740643748661628,-0.029080968452508738,0.029080968452508738
16,small_world,0.145,0.6312571533876841,-0.6458895333952696,0.6560835815268211,-0.024826428139137047,0.024826428139137047
16,small_world,0.15,0.6133840702210092,-0.5651533417208607,0.6376440836039466,-0.024260013382937484,0.024260013382937484
16,small_world,0.155,0.5980778187617385,-0.484417150046452,0.6187903765194676,-0.020712557757729066,0.020712557757729066
