local_noise,link_noise,before_cgcs,before_link_consistency,before_global_stability,after_cgcs,after_link_consistency,after_global_stability,projection_gain,projection_rate
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,0.08333333333333337,0.08333333333333333
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.049999999999999996,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.049999999999999996,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.049999999999999996,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.049999999999999996,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.049999999999999996,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.049999999999999996,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.049999999999999996,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
0.0,0.049999999999999996,0.875,0.875,1.0,1.0,1.0,1.0,0.125,0.125
0.0,0.09999999999999999,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.04166666666666663,0.041666666666666664
