mode,sample_size,trial,signal_rate,unique_lanes_seen
uniform,25,88,0.16,3
constrained,25,88,1.0,8
uniform,25,89,0.28,4
constrained,25,89,1.0,8
uniform,25,90,0.12,2
constrained,25,90,1.0,7
uniform,25,91,0.36,7
constrained,25,91,1.0,6
uniform,25,92,0.32,6
constrained,25,92,1.0,8
uniform,25,93,0.4,5
constrained,25,93,1.0,8
uniform,25,94,0.32,6
constrained,25,94,1.0,8
uniform,25,95,0.16,3
constrained,25,95,1.0,8
uniform,25,96,0.28,5
constrained,25,96,1.0,7
uniform,25,97,0.36,5
constrained,25,97,1.0,8
uniform,25,98,0.44,5
constrained,25,98,1.0,8
uniform,25,99,0.4,5
constrained,25,99,1.0,8
uniform,25,100,0.2,4
constrained,25,100,1.0,7
uniform,25,101,0.32,6
constrained,25,101,1.0,8
uniform,25,102,0.24,5
constrained,25,102,1.0,8
uniform,25,103,0.32,4
constrained,25,103,1.0,7
uniform,25,104,0.28,5
constrained,25,104,1.0,7
uniform,25,105,0.28,6
constrained,25,105,1.0,8
uniform,25,106,0.2,4
constrained,25,106,1.0,8
uniform,25,107,0.24,5
constrained,25,107,1.0,7
uniform,25,108,0.36,5
constrained,25,108,1.0,8
uniform,25,109,0.16,2
constrained,25,109,1.0,8
uniform,25,110,0.2,5
constrained,25,110,1.0,7
uniform,25,111,0.12,3
constrained,25,111,1.0,8
uniform,25,112,0.24,4
constrained,25,112,1.0,8
uniform,25,113,0.16,3
constrained,25,113,1.0,8
uniform,25,114,0.24,4
constrained,25,114,1.0,8
uniform,25,115,0.36,6
constrained,25,115,1.0,7
uniform,25,116,0.4,6
constrained,25,116,1.0,8
uniform,25,117,0.16,3
constrained,25,117,1.0,8
uniform,25,118,0.32,5
constrained,25,118,1.0,8
uniform,25,119,0.32,5
constrained,25,119,1.0,8
uniform,25,120,0.32,5
constrained,25,120,1.0,8
uniform,25,121,0.2,4
constrained,25,121,1.0,7
uniform,25,122,0.28,5
constrained,25,122,1.0,8
uniform,25,123,0.36,5
constrained,25,123,1.0,7
uniform,25,124,0.4,5
constrained,25,124,1.0,8
uniform,25,125,0.32,5
constrained,25,125,1.0,7
uniform,25,126,0.2,3
constrained,25,126,1.0,7
uniform,25,127,0.28,4
constrained,25,127,1.0,8
uniform,25,128,0.28,6
constrained,25,128,1.0,8
uniform,25,129,0.24,5
constrained,25,129,1.0,7
uniform,25,130,0.32,5
constrained,25,130,1.0,7
uniform,25,131,0.28,5
constrained,25,131,1.0,8
uniform,25,132,0.24,4
constrained,25,132,1.0,8
uniform,25,133,0.16,4
constrained,25,133,1.0,8
uniform,25,134,0.24,5
constrained,25,134,1.0,8
uniform,25,135,0.2,4
constrained,25,135,1.0,8
uniform,25,136,0.24,5
constrained,25,136,1.0,8
uniform,25,137,0.24,4
constrained,25,137,1.0,7
uniform,25,138,0.24,4
