feature,peak_residue,lane_mass_ratio,activation_count,dead,valid_peak,hidden_dim,topk
1,15,0.2054443210363388,0,1,0,24,2
2,19,0.43963712453842163,0,1,1,24,2
3,12,0.38970860838890076,0,1,0,24,2
4,26,0.2551802098751068,0,1,0,24,2
5,17,0.47739699482917786,0,1,1,24,2
6,11,0.44300997257232666,0,1,1,24,2
7,9,0.3056616187095642,0,1,0,24,2
8,11,0.803150475025177,600,0,1,24,2
9,4,0.3056561052799225,0,1,0,24,2
10,19,0.27638283371925354,0,1,1,24,2
11,28,0.13136033713817596,0,1,0,24,2
12,8,0.21322046220302582,0,1,0,24,2
13,19,0.6078675389289856,0,1,1,24,2
14,24,0.1246800497174263,0,1,0,24,2
15,23,0.3181522488594055,0,1,1,24,2
16,28,0.32465115189552307,0,1,0,24,2
17,24,0.29086410999298096,0,1,0,24,2
18,25,0.3133687973022461,0,1,0,24,2
19,13,0.2912246286869049,0,1,1,24,2
20,14,0.11817892640829086,0,1,0,24,2
21,7,0.47736304998397827,0,1,1,24,2
22,25,0.19576390087604523,0,1,0,24,2
23,17,0.8851417303085327,600,0,1,24,2
0,24,0.32157188653945923,0,1,0,24,4
1,26,0.07963354885578156,0,1,0,24,4
2,3,0.20282405614852905,0,1,0,24,4
3,17,0.45805758237838745,0,1,1,24,4
4,13,0.7085666060447693,526,0,1,24,4
5,1,0.4177044630050659,0,1,1,24,4
6,3,0.26583704352378845,0,1,0,24,4
7,18,0.12223730236291885,0,1,0,24,4
8,13,0.19527152180671692,0,1,1,24,4
9,17,0.9466907382011414,600,0,1,24,4
10,29,0.5478260517120361,0,1,1,24,4
11,23,0.23322239518165588,0,1,1,24,4
12,13,0.46819236874580383,157,0,1,24,4
13,13,0.3025083541870117,0,1,1,24,4
14,29,0.41711941361427307,0,1,1,24,4
15,13,0.500747799873352,0,1,1,24,4
16,11,0.4776553809642792,0,1,1,24,4
17,2,0.31422218680381775,0,1,0,24,4
18,29,0.7169764041900635,1,0,1,24,4
19,16,0.09744297713041306,0,1,0,24,4
20,29,0.8674421310424805,600,0,1,24,4
21,0,0.306254506111145,0,1,0,24,4
22,1,0.6221771836280823,490,0,1,24,4
23,11,0.2644970715045929,0,1,1,24,4
0,11,0.2812478244304657,0,1,1,32,1
1,8,0.21548046171665192,0,1,0,32,1
2,1,0.3749285340309143,0,1,1,32,1
3,29,0.35569483041763306,0,1,1,32,1
4,16,0.15485744178295135,0,1,0,32,1
5,19,0.3251552879810333,0,1,1,32,1
6,10,0.3662690222263336,0,1,0,32,1
7,14,0.16511620581150055,0,1,0,32,1
8,14,0.20165152847766876,0,1,0,32,1
9,21,0.3500847816467285,0,1,0,32,1
10,20,0.11915689706802368,0,1,0,32,1
11,4,0.39041364192962646,0,1,0,32,1
12,14,0.12280868738889694,0,1,0,32,1
13,16,0.2399909645318985,0,1,0,32,1
14,15,0.3778976798057556,0,1,0,32,1
15,12,0.2644839584827423,0,1,0,32,1
16,4,0.21799533069133759,0,1,0,32,1
17,29,0.29078370332717896,0,1,1,32,1
18,6,0.38793835043907166,0,1,0,32,1
19,10,0.20386938750743866,0,1,0,32,1
20,7,0.32447752356529236,0,1,1,32,1
21,18,0.11472104489803314,0,1,0,32,1
22,18,0.17595461010932922,0,1,0,32,1
23,20,0.3111087381839752,0,1,0,32,1
24,23,0.22584567964076996,0,1,1,32,1
25,5,0.128983736038208,0,1,0,32,1
26,7,1.0,600,0,1,32,1
27,5,0.17119815945625305,0,1,0,32,1
28,3,0.37580442428588867,0,1,0,32,1
29,9,0.19956687092781067,0,1,0,32,1
30,21,0.24696792662143707,0,1,0,32,1
31,17,0.37083175778388977,0,1,1,32,1
0,7,0.9971282482147217,230,0,1,32,2
1,19,0.5794928669929504,0,1,1,32,2
2,6,0.1675301045179367,0,1,0,32,2
3,28,0.2883506715297699,0,1,0,32,2
